method,summary,rouge1,rouge2,rougeL,bleu,meteor,bertscore
hybrid,"The UK's Chancellor Angela Merkel has warned that the EU must ""take a lesson"" from the political crisis.",0.163265306122449,0.0,0.163265306122449,0.01033820067993454,0.06944444444444445,0.25969165563583374
abstractive,"The CBI has warned that 27 European countries could agree on a ""lot more readily"" Brexit deal, despite the ""uncertainty"" of the UK's relationship with the EU.",0.3103448275862069,0.07142857142857142,0.2413793103448276,0.014777441904679571,0.11784511784511785,0.25121787190437317
extractive,"Jay Bourke, a restaurateur who is involved with the venue, told RTÉ he was ""not happy"" with what had happened Health Minister Stephen Donnelly said the ""vast majority of Irish people have sacrificed a huge amount to help suppress this virus"". ""The reckless actions of a small few can have huge repercussions on everyone else."" The person who took the video told RTÉ that when he arrived at the venue with his wife, some social distancing measures were being applied. Mr Bourke said footage from inside the premises showed that for the majority of the time people were complying with public health guidelines. He said 51 people had attended a brunch event, which was fully ticketed.",0.14705882352941177,0.029850746268656716,0.10294117647058824,0.008516106537688048,0.20346711403621978,0.17444470524787903
hybrid,"A man who took a video of a woman at a restaurant in Dublin has said he was ""not happy"" with what happened.",0.23255813953488372,0.0975609756097561,0.18604651162790697,0.03899828881387777,0.22989690721649483,0.3303900957107544
abstractive,A video showing a man pouring drinks into people's mouths has been filmed in the Republic of Ireland.,0.25641025641025644,0.0,0.15384615384615385,0.017726069896229893,0.07936507936507936,0.22988654673099518
extractive,"By Adam DonaldPolitical reporter, BBC News The spark - 15:12 GMT There was minimal description of the image in the tweet composed by Emily Thornberry, who had travelled to Rochester to campaign in the by-election. Backpedalling - 18:15 Emily Thornberry told Mail Online: ""It was a house covered in British flags. Labour MPs from John Mann to Douglas Alexander seem to think not, having lined up to denounce the tweet and say it was right for Ms Thornberry to resign.",0.23214285714285715,0.01818181818181818,0.14285714285714285,0.012915242865674213,0.23986880466472302,0.0492643266916275
hybrid,"The tweet that sparked a protest in the town of Rochester has been re-branded as a ""smoking house covered in British flags"".",0.18518518518518517,0.0,0.14814814814814814,0.01101678528307761,0.08561643835616438,0.15704794228076935
abstractive,"The BBC's Emily Thornberry tweets have been a'sneering' for Labour MPs, who have been sneering at Labour's campaign.",0.2692307692307692,0.04,0.15384615384615383,0.018556106039181723,0.12916666666666665,0.16802139580249786
extractive,"Emergency services were called to the fire on land in the East Mains of Pitfour area, near Mintlaw, shortly after 07:00 on Wednesday. It was extinguished by the Scottish Fire and Rescue Service (SFRS), and the body of the 77-year-old man was discovered inside. SFRS area commander Martin Tait said: ""We were alerted to reports of a fire within a static caravan.",0.25316455696202533,0.07792207792207792,0.1518987341772152,0.017861404475297632,0.3106120304701866,0.17252562940120697
hybrid,A man has been found dead in a caravan fire in the Scottish Borders. It was extinguished by the Scottish Fire and Rescue Service.,0.5263157894736842,0.3888888888888889,0.4736842105263159,0.1969869893777744,0.6250000000000001,0.5557352900505066
abstractive,A 77-year-old man has been found in a caravan in the Scottish Borders.,0.6206896551724138,0.29629629629629634,0.5517241379310344,0.22131477988685874,0.5919708677502443,0.5526387691497803
extractive,"South Yorkshire Police said two men aged 20 and 49 were arrested on Friday in connection with his death, bringing the total number of arrests to eight. Two boys, aged 16 and 17, have been charged with Mr Williams' murder and are next due to appear in court on 1 February. Police said one of the men arrested on Friday, a 20-year-old from Barnsley, was arrested on suspicion of murder, while a 49-year-old man from Doncaster was arrested on suspicion of assisting an offender and possession of ammunition.",0.15384615384615383,0.058823529411764705,0.11538461538461539,0.020932829038622158,0.2714445153061225,0.2271689623594284
hybrid,Two boys have been arrested in connection with the murder of a man who died in a car crash in South Yorkshire.,0.4705882352941177,0.31249999999999994,0.4705882352941177,0.22866722231574907,0.5402644230769231,0.5751758217811584
abstractive,Two men have been arrested in connection with the death of a man who was shot in the head by a man in the north-east of Yorkshire.,0.4,0.2631578947368421,0.4,0.18373344524824242,0.5202546296296297,0.6034654974937439
extractive,"The university only has to nominate one official candidate and has already declared that to be Lord Sainsbury. Seth Alexander Thevoz, who set up the Facebook campaign to get Mr Blessed nominated, said: ""Cambridge can do much better for itself. Mr Arain said: ""Cambridge should be an institution that nurtures the community as well as world-renowned educational values."" Whoever becomes chancellor will get a role for life as constitutional head of the university, advising on difficult issues and conferring honorary degrees at an annual ceremony.",0.16,0.0,0.1,0.006065260298306147,0.14218009478672985,0.06355997174978256
hybrid,"Cambridge University has announced it will nominate its chancellor, Sir John Blessed. The university has announced it will nominate its chancellor, Sir John Blessed.",0.3684210526315789,0.1111111111111111,0.2631578947368421,0.02983272055925956,0.24800000000000003,0.35046911239624023
abstractive,A mountaineer who has been nominated for the chancellor of Cambridge University has been named as chancellor.,0.3870967741935484,0.20689655172413793,0.3870967741935484,0.05148551848842733,0.31188811188811194,0.39748308062553406
extractive,"The BBC is now looking for a new authoritative presenter to follow in Clark's footsteps for the new series, which will use modern digital technology to provide a fresh overview of the history of art. ""The arts have been central to the BBC's past and are central to its future. As all arts organisations face the challenge of delivering more in a tight economic climate, it is vital that we work together in new ways to create a bigger and better offer to the public."" As well as including arts content in The One Show, the idea will be spread to other popular programmes such as BBC Radio 2's Simon Mayo show.",0.21739130434782605,0.07352941176470587,0.15942028985507248,0.02051908187930935,0.326589651302295,0.23858386278152466
hybrid,BBC Radio 2's BBC One show will be a new series of art shows to be broadcast on BBC Radio 2.,0.2666666666666666,0.046511627906976744,0.22222222222222224,0.01609539566008368,0.18701267056530213,0.27652686834335327
abstractive,The BBC has announced plans to launch a new series of arts shows to bring the arts to the public.,0.4186046511627907,0.04878048780487805,0.3255813953488372,0.03489378510475949,0.2572469679664981,0.471534788608551
extractive,"""Our findings demonstrate very plainly that deep-seated inequalities follow poorer teenagers from school through to sixth form and college, and continue to widen further compared to otherwise similar students, as they work towards their qualifications."" The big gaps in grades is largely explained by poorer students already having lower grades at the end of their GCSEs, the researchers say. Disadvantaged students are also more likely to take fewer and lower-level qualifications which adds to the gap in results. ""There is now a broad consensus that young people need additional support to recover from the disruption to their education caused by Covid, but as this report illustrates, sixth forms and colleges have been helping students to recover from a range of disadvantages for many years."" A Department for Education spokesperson said: ""We are determined to ensure disadvantaged students are properly supported while studying at college or sixth form so they can gain the skills they need to progress. ""This includes providing extra funding for disadvantaged 16 to 19-year-old students, specifically those with low prior attainment or who live in the most disadvantaged areas.""",0.1083743842364532,0.009950248756218905,0.06896551724137931,0.003283118232875531,0.1533742331288344,0.11473313719034195
hybrid,A study by the Department for Education has found that disadvantaged students are more likely to take fewer and lower-level qualifications than other students.,0.3333333333333333,0.0,0.2380952380952381,0.015838650460592955,0.11904761904761905,0.3802501857280731
abstractive,"The gap between poorer and affluent students in England and England has been ""chronic"" for the pandemic, a study suggests.",0.37837837837837834,0.17142857142857143,0.3243243243243243,0.0712441966571245,0.2599932249322493,0.3836084008216858
extractive,"Kamal AhmedEconomics editor@bbckamalon Twitter Another upgrade like today's and the Bank of England will be more positive than it was about the British economy in May last year - its final Inflation Report before the referendum. The Bank slashed growth projections to 0.8% for 2017 and 1.8% for 2018, a huge downgrade which would have resulted - if the forecasts came to pass - in an economy billions of pounds smaller than previously projected. In November, the Bank upgraded its growth forecasts by 0.6% for 2017, one of the most substantial increases it has ever published. It still believes - even with these substantial upgrades - that by 2019 the UK economy will be 1.5% smaller than it would have been had Britain voted to stay in the EU. And the decline in the value of sterling has boosted inflation, with the Bank warning today that wage growth is likely to stall and consumer consumption - one of the key drivers of economic growth - slow. Interestingly, though, the Bank has become a little more doveish on the inflation issue as the pound has strengthened slightly over the last two months. The Bank insists there is still a Brexit effect on the downside - and the Governor will be braced for more criticisms that the August report was simply too negative.",0.02586206896551724,0.0,0.02586206896551724,0.0024126709103483453,0.05763688760806917,-0.1383688598871231
hybrid,"The Bank of England has upgraded its growth forecasts by 0.6% for 2017 and 2018. Its latest increase is a huge downgrade, despite the Bank's slamming forecasts.",0.14285714285714288,0.0,0.09523809523809525,0.01336164739327787,0.09803921568627452,-0.01845341920852661
abstractive,The Bank of England is a little more chipper than it was about the British economy in May last year - but it is still wary about the future.,0.14634146341463414,0.0,0.0975609756097561,0.013527893330630132,0.12903225806451615,0.027729924768209457
extractive,"The move comes amid increased security concerns, particularly following the death of the Labour MP Jo Cox. Previously, MPs wanting enhanced security arrangements had to have to a risk assessment carried out by the police and written estimates before any work could be carried out. We have recently streamlined the way we provide this support, responding to the security needs of MPs as defined by the police, while continuing to provide assurance about the public money spent.""",0.10869565217391304,0.0,0.08695652173913043,0.006301928209903302,0.1179245283018868,0.1283651888370514
hybrid,"MPs have been urged to provide a security assessment to MPs to ensure they are safe and secure, a report has said.",0.27027027027027023,0.0,0.21621621621621623,0.01800704038900026,0.19108280254777069,0.3452281951904297
abstractive,"MPs who want to install security at Houses of Parliament have to apply to have them installed, the BBC has learned.",0.16666666666666666,0.0,0.16666666666666666,0.016475111107446542,0.09615384615384616,0.2705220580101013
extractive,"""The town hall officials who take forever to make those planning decisions that can be make or break for a business - and the investment and jobs that go with it. 'Reheated rhetoric' Labour has accused the Conservatives of lacking a strategy for growth and being more interested in grabbing headlines. Shadow chancellor Ed Balls said: ""When we urgently need a plan for jobs and growth to get the economy moving again and help hard-pressed families all David Cameron and George Osborne can offer is empty words but precious little action. ""All we've heard from this conference is the reheated rhetoric and warmed up policies of 30 years ago - a VAT rise, deep spending cuts, knee-jerk deregulation and enterprise zones which didn't work when they were tried in the 1980s. ""If David Cameron wants to know who is the real enemy of enterprise and growth in Britain today he only needs to look next door at his own chancellor.",0.17204301075268816,0.05434782608695652,0.09677419354838708,0.009734478022004053,0.2149202715121809,0.0661437064409256
hybrid,Labour has accused the Conservatives of failing to plan for growth and being more interested in grabbing headlines.,0.28571428571428575,0.049999999999999996,0.14285714285714288,0.032556420039792394,0.18950617283950616,0.2310318499803543
abstractive,"The prime minister has said he is ""spark of initiative"" to promote growth and ingenuity in Britain.",0.39024390243902435,0.05128205128205128,0.19512195121951217,0.015692856672181184,0.13392857142857142,0.2593851089477539
extractive,"The next expansion for World of Warcraft, known as Mists of Pandaria, goes live on Tuesday. The Asian-themed game is seen as an attempt to shore up WoW's dwindling subscriber base and cement its popularity in China. Mists of Pandaria is the fourth expansion for the massively multiplayer online game.",0.21875,0.03225806451612903,0.125,0.007983302249662896,0.20134228187919465,0.16989456117153168
hybrid,"WoW has announced it will launch a new expansion for the Asian-themed game, Mists of Pandaria.",0.13793103448275862,0.0,0.06896551724137931,0.01571523700545522,0.04347826086956522,0.1956305354833603
abstractive,"WoW has announced a new expansion for the world's biggest online game, World of Warcraft.",0.42857142857142855,0.15384615384615383,0.28571428571428575,0.019730657693620934,0.13157894736842105,0.33786439895629883
extractive,"""The last thing the governing council wants is an unwanted tightening and for conditions that may either slow down this process or even jeopardise it."" Claus Vistesen, chief eurozone economist at Pantheon Macroeconomics, said: ""The comment on inflation which is sticking in our head is Mr Draghi's notice to markets that: 'We are not there yet.'"" 'Super-sensitive' markets However, the euro did move sharply to a 14-month high against the dollar when at one point Mr Draghi hinted that the governing council of the ECB might start discussing reducing QE in the autumn. Patrick O'Donnell, senior investment manager at Aberdeen Asset Management, said: ""This is a well-choreographed attempt by Mr Draghi to make sure that financial markets don't get ahead of themselves after his more hawkish comments of late."" The QE bond-buying programme, together with ultra-low interest rates, was designed to encourage lending and fend off the threat of deflation in the eurozone. Underlying inflation in the euro area is expected to rise only gradually over the medium term."" Aberdeen Asset Management's Mr O'Donnell said: ""We probably won't hear anything significant out of the ECB until September, which is plenty of time for investors to digest Mr Draghi's caveat laden hawkishness.",0.08368200836820083,0.0,0.050209205020920494,0.0030128386996265293,0.10344827586206898,-0.009309349581599236
hybrid,The governing council of the ECB has urged investors to consider reducing QE in the autumn.,0.1904761904761905,0.05,0.1904761904761905,0.011070499014324397,0.06,0.3507099747657776
abstractive,The ECB has warned that the eurozone could be re-broadcast by the end of the year.,0.13953488372093026,0.048780487804878044,0.13953488372093026,0.010003325090304339,0.04,0.3049182891845703
extractive,"According to official figures, between January and March, the country's economy grew by just 0.9%, compared with the previous quarter. The figure has raised concerns that Africa's largest economy is struggling to regain momentum. Compared with the same three months in 2012, South Africa's economy grew by 1.9%.",0.23529411764705882,0.09090909090909091,0.14705882352941177,0.0217705805831502,0.3289936664320901,0.3525167405605316
hybrid,"South Africa's economy grew by just 0.9% between January and March, compared with the previous quarter.",0.2424242424242424,0.12903225806451615,0.2424242424242424,0.04030833724870907,0.17996870109546165,0.49118542671203613
abstractive,"South Africa's economy has grew by just 0.9% in the first quarter of the year, according to the latest figures.",0.4864864864864865,0.34285714285714286,0.4864864864864865,0.09215926481983776,0.32848755940732455,0.634997546672821
extractive,"Vivergo's managing director, Mark Chesworth, told the BBC's Today programme that thousands of people could be affected by the stoppage: ""For 150 skilled workers on the banks of the Humber and the 3,000 people we support across the supply chain, many of them UK farmers, it's a very worrying time for the business."" Petrol sold in the UK contains about 5% bioethanol, which Vivergo says results in carbon emissions savings equivalent to taking 180,000 cars off the road. Vivergo has called on the government to increase the amount of bioethanol in petrol to 10% by introducing a fuel called E10. ""I am not predicting that we will be one of them but with an unclear restart date, it is clearly concerning for all involved with Vivergo Fuels.""",0.08053691275167785,0.013605442176870748,0.08053691275167785,0.003620737221110608,0.11070110701107012,0.08290406316518784
hybrid,"Vivergo Fuels has said it is ""very worrying"" to be able to stop the UK's diesel-electric power plant from supplying diesel.",0.3,0.10526315789473685,0.19999999999999998,0.014886943406383508,0.22545454545454546,0.21851155161857605
abstractive,"The UK's government has said it will stop production of bioethanol in the UK by 2020, despite government delays.",0.4324324324324324,0.17142857142857143,0.37837837837837834,0.04089148102978526,0.32639953987730064,0.4484323561191559
extractive,"The Biden campaign rejected the claims. Prior to Tuesday's debate, the rumour about Mr Biden's supposed earpiece was circulating on several social networks, and was being promoted by the Trump campaign. At least 15 versions The advertising campaign was launched after the debate, and also promotes two other baseless but widely shared rumours about Mr Biden. The photo featured in the advert is not from Tuesday's debate. Rumour origins Hours before the debate, the claims went viral on Facebook and YouTube. They claimed ""Joe Biden should be inspected for a hidden earpiece as well as submit to a drug test before the debate"".",0.14814814814814817,0.015037593984962407,0.11851851851851851,0.005150434654167941,0.13005780346820808,0.16546379029750824
hybrid,"The campaign for a earpiece that was allegedly hidden by a Trump campaign has been branded ""a false accusation"".",0.16666666666666666,0.0,0.08333333333333333,0.010622514533425127,0.07633587786259542,0.13098424673080444
abstractive,"The Trump campaign has branded the campaign's campaign a ""drug test"" for the president's earpiece.",0.2173913043478261,0.0,0.17391304347826086,0.008865555982826182,0.05813953488372093,0.17764611542224884
extractive,"Mr Foley said: ""The SPA has continued to evolve and improve since its inception in 2013 and strengthening the governance of Forensic Services is the next stage of that journey and one I fully support. He added: ""I am confident that the authority and policing will continue to improve in the coming years and I want to thank all of the staff and officers who I have had the pleasure of working with over the past four years."" Chief officer Although the CEO position is considered redundant, the SPA said it was seeking a 12-month secondee to act as chief officer for the SPA. ""There is a fundamental need to listen to the views of stakeholders to maintain public confidence, and on this occasion the SPA has failed to do so until pressed by parliamentary committees. ""The SPA must recognise the legitimate interests of parliament, local authorities, staff associations, the press and the wider public in the scrutiny of policing in Scotland."" 'Gross misconduct' The SPA describes its role as ""to maintain policing, promote policing principles and continuous improvement of policing, and to hold the Chief Constable to account"".",0.08866995073891626,0.01990049751243781,0.06896551724137931,0.00508188450744436,0.13071895424836605,0.05723131075501442
hybrid,The SPA has been re-elected as the chief executive officer of the Scottish Parliament for the next four years.,0.4242424242424242,0.2580645161290323,0.3636363636363637,0.08688004023091507,0.31352124183006536,0.35113659501075745
abstractive,The chief executive of the SPA has been resigning from the SPA after a review by the HM Inspectorate of Constabulary in Scotland.,0.33333333333333337,0.23529411764705885,0.33333333333333337,0.15415064977510756,0.26571428571428574,0.4282675087451935
extractive,"Rory Cellan-JonesTechnology correspondent@BBCRoryCJon Twitter On the Tech Tent podcast this week, we look at the fallout from the cancellation of Mobile World Congress - and ask whether social media has played a positive or negative role in helping people understand the threat posed by the virus. But he said a 24/7 news culture and the rise of social media made that fear spread faster than the virus itself - especially as the coronavirus was being diagnosed far more rapidly than Sars was 20 years ago. Even if people were attending the show from China, he said, ""we have new ways to diagnose these types of infections very quickly and accurately so that shouldn't be a concern."" Feeling the heat at Samsung The following day, the mobile industry's market leader Samsung was launching its latest devices in San Francisco. Disappointment and disinformation That move looked even smarter the next day, when the news came through that MWC had been cancelled. Standing outside Google's Mountain View headquarters, Andrew Pattison had this warning: ""The spread of misinformation, and false information about the virus itself is spread faster than the virus, and it's got into more people's lives and infected more people than the actual virus itself."" Examples include people falsely claiming that eating garlic or taking vitamin C could ward off the disease, or changing credible websites such as that of the Canadian Health Ministry to insert false information about schools which had been affected by the coronavirus. What is clear is that the coronavirus is going to have a major impact on many technology firms this year.",0.12837837837837837,0.054421768707483,0.08783783783783783,0.007342314846796129,0.18711018711018715,0.0885811448097229
hybrid,"The coronavirus is a major threat to many technology firms this year, according to the tech industry's chief executive.",0.22222222222222224,0.0930232558139535,0.17777777777777778,0.012439420442741362,0.06382978723404255,0.36212167143821716
abstractive,"The tech industry has been battling the coronavirus for decades, and it's been a huge hit in the tech industry this year.",0.2916666666666667,0.043478260869565216,0.16666666666666666,0.013076033362231915,0.08403361344537816,0.35473600029945374
extractive,"But other findings in the report showed that Wales had the lowest availability of 4G services across the UK, with just under a quarter (23%) of adults having a 4G service in May 2015. The use of Twitter was higher among online adults in Wales (48%) than England (40%), Scotland (32%) and Northern Ireland (33%). In 2014, radio services reached 94.5% of the adult population in Wales. Close to half of adults in Wales (47%) who listen to radio have a digital radio set.",0.1869158878504673,0.019047619047619046,0.14953271028037382,0.012066194884936779,0.18315018315018317,0.0681719109416008
hybrid,"The number of adults in Wales has fallen by a quarter in the last three years, according to a report.",0.4285714285714286,0.2,0.3333333333333333,0.08158110686032001,0.33604964114832536,0.23046007752418518
abstractive,"The number of people in Wales who are using the internet has risen by 24% in the last year, a report has found.",0.3555555555555555,0.046511627906976744,0.22222222222222224,0.03567139234299862,0.2509581367924528,0.25408273935317993
extractive,"The Conservative MP told Channel 4 News he had been ""really shocked"" to learn of its allegations that the original newspaper coverage of the claim he had used the word ""pleb"" had been corroborated by the email from the officer pretending to be an eyewitness. ""I believe now that there should be a full inquiry so that we can get to the bottom of this, so that everyone can have confidence that this sort of thing won't happen again."" London Mayor Boris Johnson said: ""An allegation that a serving police officer posed as a member of the public whilst fabricating evidence is a matter of the utmost gravity. ""I know that the Metropolitan Police Commissioner is committed to establishing the truth here, as soon as possible."" BBC political editor Nick Robinson said Mr Johnson's comments were the first time there had been suggestion of a conspiracy involving police officers. Mr Mitchell said on Channel 4 News that his first reaction was ""there's not really much of an altercation"" when the story about his dealings with the police emerged. Asked why he did not give a more detailed account earlier, Mr Mitchell said: ""Well, when the story broke, the decision was made that I would apologise for what I did say, and my apology was accepted; there was no police complaints and that we would let it lie.",0.10236220472440945,0.023809523809523808,0.07086614173228348,0.0054932474039722096,0.12415349887133183,0.09025266021490097
hybrid,"A former police officer has been accused of posing as a member of the public while he was a police officer, a BBC political editor has said.",0.19607843137254902,0.08163265306122448,0.15686274509803924,0.033697933126700795,0.1530864197530864,0.17875468730926514
abstractive,A police officer who posed as a member of the public has been accused of threatening to snatch a cabinet minister.,0.17777777777777778,0.09302325581395349,0.17777777777777778,0.029218382523175736,0.08438818565400844,0.17433805763721466
extractive,"In 2016, when ex-President Dilma Rousseff was accused of manipulating the government budget and her impeachment trial was launched, then Vice-President Temer stepped in as acting president. In a series of carefully plotted moves, Mr Temer clearly positioned himself as a rival president. Bribery allegations Mr Temer was the first president in Brazilian history to have charges brought against him while still holding on to the top job.",0.33663366336633666,0.1414141414141414,0.25742574257425743,0.10181096920207619,0.39646126109467456,0.2884474992752075
hybrid,A former president of Brazil has been appointed as the first president to be accused of manipulating the government budget and impeachment trial.,0.2222222222222222,0.11538461538461538,0.2222222222222222,0.05295025964126698,0.14552521805081534,0.25021031498908997
abstractive,"A former president of Brazil has been accused of bribery charges against his former president, a former president who was accused of attempting to obstruct justice.",0.2456140350877193,0.0,0.14035087719298245,0.014611585048714938,0.11824324324324324,0.20185677707195282
extractive,"Their mother and sister both died from stomach cancer. Tracy, who was the only sibling to find out she did not have the gene, said: ""They told me my results first, so I just thought we would all be the same. ""Knowing what my mum and sister had gone through and so quickly, I encouraged them to have the procedure done, and they're all still here."" Sophia said: ""I read in my sister Yasmin's notes in hospital that they thought it may be genetic so I did some research and found out the hospital in Cambridge was doing a study with Cancer Research so I contacted them and went from there. He said: ""I am worried about my daughter's future, but I say to her we have all gone through it and are fine now, so whatever happens she'll be OK."" Tahir underwent his surgery five and a half years ago after his test found he had clusters of cancerous cells in his stomach lining. ""They said I effectively had cancer but because it was contained in my stomach lining and I had all that removed, it eliminated it. ""There's no doubt in my mind that having the tests and the procedure done saved my life."" Dr Marc Tischkowitz, consultant physician in medical genetics at the University of Cambridge, said: ""This is a very rare, specific type of stomach cancer. ""It's a gene that carriers can have for their lifetime and means that they are at risk of developing cancer any time."" He said the stomach removal was ""a dramatic life-changing procedure"" and said there was ""no way of knowing in all cases that the person who carries the gene will 100% have developed cancer in their lifetime"".",0.11356466876971609,0.025396825396825397,0.07570977917981071,0.004194003467323037,0.21436645836508664,0.04590399190783501
hybrid,"A woman who had a stomach cancer test told her sister Yasmin she had ""all that removed"" and ""got all that removed"" has died.",0.34782608695652173,0.0,0.17391304347826086,0.015838650460592955,0.15765765765765766,0.2162894606590271
abstractive,A mother and sister who died after a stomach cancer operation have been found to have the same gene.,0.4878048780487805,0.10256410256410256,0.1951219512195122,0.036290815280819594,0.26910166695112936,0.4922339618206024
extractive,"Gareth Huntley, 33, from Leeds, disappeared on Tioman Island on 27 May 2014. ""How Gareth came by his death remains unknown,"" Ms Alam said. Mr Huntley's family said the ""mysterious circumstances"" surrounding his death had compounded their pain.",0.17543859649122806,0.0,0.10526315789473684,0.009078330771109599,0.075,0.19257709383964539
hybrid,A man who died in a boat crash on the Isle of Tioman Island has been named by his family.,0.36842105263157887,0.0,0.2631578947368421,0.01843926024949715,0.1648351648351648,0.26752549409866333
abstractive,A man who died after he was found dead on a river in Yorkshire has been ruled out.,0.2777777777777778,0.0,0.16666666666666666,0.018738720292863827,0.1111111111111111,0.3247087597846985
